ID,TIME,Age,Gender,Edu,XP,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,CRT7,CRTALL7_R,CRTALL7_I,CRTALL6_R,CRTALL6_I,CRTALL3_R,CRTALL3_I,CRT_Time,Familiarity,PBS_Avg,BeliefBias_Sum,AOM_Avg,DN_Avg,NUMERACY_Sum
58,20.78333333,46,2,3,0,1,2,1,1,1,2,2,4,3,4,2,2,1,4.226066667,3,1.384615385,4,4.545454545,1,9
59,18.56666667,53,2,2,0,2,2,3,2,1,3,2,1,4,1,3,0,2,5.47215,0,1.423076923,6,4,3.8,7
60,7.95,49,2,5,2,1,1,1,1,1,1,1,7,0,6,0,3,0,1.400383333,7,1.423076923,0,3.909090909,1,11
61,37.21666667,54,2,2,1,2,1,2,2,1,1,2,3,4,3,3,1,2,4.673266667,1,4.384615385,7,3.545454545,2.4,6
62,12.91666667,54,1,2,1,1,1,2,1,1,1,1,6,1,5,1,2,1,2.48605,0,1.346153846,1,3.909090909,1,11
63,13.08333333,62,2,3,2,2,3,1,2,2,3,2,1,4,1,3,1,1,2.43795,0,2.692307692,3,3.909090909,2.2,9
64,14.63333333,26,2,3,0,3,3,2,3,1,1,1,3,1,2,1,0,1,3.619283333,0,1.846153846,2,3.090909091,3.4,9
65,28.31666667,49,2,3,2,2,1,1,1,2,1,2,4,3,4,2,2,1,6.82405,0,3.038461538,2,4,1.6,11
66,12.3,61,1,2,1,2,2,2,2,1,1,2,2,5,2,4,0,3,2.579983333,7,2.730769231,8,3.818181818,4,7
67,12.18333333,45,2,3,1,2,1,1,1,2,2,2,3,4,3,3,2,1,3.034116667,2,1.346153846,8,3.545454545,3.4,10
68,16.1,18,1,2,0,1,1,1,1,1,1,1,7,0,6,0,3,0,5.4693,3,2.461538462,2,3.727272727,2,11
69,24.18333333,35,1,2,0,2,2,2,1,1,2,1,3,4,2,4,0,3,5.857666667,6,3,8,3.090909091,1,11
70,18.96666667,50,1,2,1,2,1,1,2,2,1,1,4,3,3,3,2,1,3.922716667,1,2,2,4.181818182,1,10
71,13.31666667,48,2,3,2,1,1,1,1,1,1,1,7,0,6,0,3,0,3.57465,1,4.769230769,0,4.090909091,1,8
72,10.96666667,42,2,3,2,2,2,2,2,3,2,1,1,5,0,5,0,3,2.093266667,2,4.307692308,8,3.727272727,1.4,10
73,17.71666667,40,1,5,1,2,1,2,2,1,2,1,3,4,2,4,1,2,5.9764,0,2.961538462,1,4.181818182,1,10
74,13.2,50,2,2,0,2,1,1,3,1,1,1,5,1,4,1,2,1,2.179066667,3,1.807692308,2,3.636363636,1,11
75,20.65,46,1,3,1,1,1,1,1,1,1,1,7,0,6,0,3,0,4.6725,3,2.923076923,4,4,1,11
76,24.76666667,22,2,3,0,1,1,1,1,1,1,1,7,0,6,0,3,0,5.73275,3,1.230769231,6,4.272727273,2,10
77,20.88333333,60,2,3,0,2,2,2,2,2,3,1,1,5,0,5,0,3,4.177766667,0,1.846153846,8,4.090909091,1,11
78,19.05,44,2,2,1,2,1,1,1,1,2,1,5,2,4,2,2,1,4.037083333,0,3.923076923,8,3.090909091,3.4,9
