ID,Fluid Intelligence,Crystallized Intelligence,Self-Esteem,Internal Locus,Logical Reasoning,Anxious Attachment,Social Adaptation,Stress,Numeracy,Probabilistic Reasoning,Working Memory
178,4,5,35,37,7,0,43,5,4,0.5,3
179,6,8,32,41,14,0.666666666666667,40,2,3,0.75,7
180,4,5,33,48,9,0,47,6,5,0,3
181,9,8,22,10,10,0.833333333333333,42,4,3,0,7
182,6,7,27,42,9,0.25,40,0,6,0.75,11
183,6,8,32,41,7,0.75,NA,6,0,0.25,10
184,8,6,19,40,5,0.25,38,5,4,0.75,8
185,6,7,26,39,7,0.333333333333333,43,5,3,0,9
186,6,7,23,42,5,0,30,1,2,0,8
187,5,5,32,42,9,0.416666666666667,43,6,7,0.25,6
188,7,5,29,NA,5,0.25,48,2,0,0,4
189,6,11,35,48,9,0.333333333333333,56,0,7,0.25,6
190,8,7,34,46,10,0.25,41,NA,4,0.5,11
191,12,10,28,43,5,0,47,0,6,0.75,9
192,1,6,26,44,13,0.833333333333333,46,2,5,0.25,12
193,6,3,30,42,13,0.333333333333333,35,2,0,0.5,6
194,3,NA,32,48,9,0.166666666666667,44,2,4,0,4
195,7,6,32,48,7,0.333333333333333,49,4,3,0.25,8
196,8,8,31,46,13,0.166666666666667,40,7,6,0.5,5
197,1,6,18,17,3,0.083333333333333,25,6,1,0,5
198,7,10,29,39,7,0.25,51,5,5,0,7
199,5,6,31,48,7,0.75,48,0,4,0.75,6
200,2,6,29,36,9,0.25,45,2,2,0,5
201,5,7,32,40,7,0.833333333333333,44,4,1,0.5,7
202,4,1,10,42,4,0.416666666666667,39,7,0,0,1
203,6,8,25,41,5,0.333333333333333,25,4,1,0.5,9
204,6,10,28,12,7,0,40,3,5,0.5,7
205,2,7,20,41,NA,0.166666666666667,31,6,0,0,4
206,10,8,32,38,7,0.083333333333333,50,5,7,0,7
207,6,6,31,47,5,0.5,30,4,5,0.25,5
208,9,9,29,39,6,0.75,43,1,6,0.25,7
209,6,5,28,47,9,0.666666666666667,50,3,2,0,7
210,4,4,19,44,2,1,29,5,1,0,5
211,5,6,24,46,9,0.166666666666667,28,6,1,0,4
212,7,3,25,44,8,1,35,3,5,0.25,3
213,5,3,18,46,5,0.333333333333333,21,8,1,0.5,8
214,6,7,18,43,8,0.333333333333333,35,4,1,0,8
215,4,5,32,42,7,0.166666666666667,37,3,0,0,4
216,6,8,30,40,5,0,37,3,1,0,9
217,4,7,16,14,5,0.916666666666667,16,8,0,0,7
218,5,8,34,38,13,0.083333333333333,42,0,6,0.75,5
219,7,8,32,40,9,0,49,2,3,0.25,7
220,5,7,31,36,9,0.166666666666667,51,6,2,0.5,6
221,6,2,19,36,7,0.416666666666667,45,NA,1,0,7
222,4,7,33,45,8,0,50,2,3,0.75,5
223,10,8,31,42,10,0.25,52,0,4,0.5,8
224,3,6,33,46,9,0.333333333333333,35,3,6,0,7
225,4,4,32,48,8,0.166666666666667,38,4,5,0.25,8
226,10,6,32,36,7,0.083333333333333,37,NA,3,0.5,10
227,6,7,31,48,10,1,49,2,2,0,6
228,4,4,25,44,13,0.583333333333333,NA,5,5,0.5,7
229,10,11,24,46,15,0.416666666666667,44,3,7,0.25,7
230,7,8,25,33,5,0,45,2,0,0,5
231,10,5,29,40,9,0.583333333333333,48,5,5,0,7
232,3,6,25,40,6,0.333333333333333,38,2,0,0.5,7
600,2,2,22,22,2,0.222,22,2,2,0.2,2
601,2,2,22,22,2,0.222,22,2,2,0.2,2
